Acupoint_Code,Relation,Mesh_Term,Mesh_Id,NCT_freq,NCT_Ids
BL13,clinicaltrials,BRONCHIAL DISEASES,D000001982,3,"NCT01931696, NCT02580942, NCT00917215"
BL13,clinicaltrials,CARDIOVASCULAR DISEASES,D000002318,2,"NCT05930262, NCT02850471"
BL13,clinicaltrials,CORONAVIRIDAE INFECTIONS,D000003333,2,"NCT05692258, NCT04374084"
BL13,clinicaltrials,CORONAVIRUS INFECTIONS,D000018352,2,"NCT05692258, NCT04374084"
BL13,clinicaltrials,COVID-19,D000086382,2,"NCT05692258, NCT04374084"
BL13,clinicaltrials,DISEASE ATTRIBUTES,D000020969,2,"NCT03169504, NCT04374084"
BL13,clinicaltrials,HYPERSENSITIVITY,D000006967,4,"NCT02580682, NCT01931696, NCT02580942, NCT00917215"
BL13,clinicaltrials,"HYPERSENSITIVITY, IMMEDIATE",D000006969,4,"NCT02580682, NCT01931696, NCT02580942, NCT00917215"
BL13,clinicaltrials,IMMUNE SYSTEM DISEASES,D000007154,4,"NCT02580682, NCT01931696, NCT02580942, NCT00917215"
BL13,clinicaltrials,INFECTIONS,D000007239,3,"NCT02580682, NCT05692258, NCT04374084"
BL13,clinicaltrials,LUNG DISEASES,D000008171,9,"NCT05930262, NCT05692258, NCT01931696, NCT03169504, NCT04374084, NCT01408212, NCT02580942, NCT00917215, NCT04051398"
BL13,clinicaltrials,"LUNG DISEASES, OBSTRUCTIVE",D000008173,4,"NCT01931696, NCT03169504, NCT02580942, NCT00917215"
BL13,clinicaltrials,LUNG NEOPLASMS,D000008175,2,"NCT01408212, NCT04051398"
BL13,clinicaltrials,NEOPLASMS,D000009369,2,"NCT01408212, NCT04051398"
BL13,clinicaltrials,NEOPLASMS BY SITE,D000009371,2,"NCT01408212, NCT04051398"
BL13,clinicaltrials,NERVOUS SYSTEM DISEASES,D000009422,2,"NCT05930262, NCT06606418"
BL13,clinicaltrials,NIDOVIRALES INFECTIONS,D000030341,2,"NCT05692258, NCT04374084"
BL13,clinicaltrials,PATHOLOGIC PROCESSES,D000010335,3,"NCT03169504, NCT04374084, NCT02850471"
BL13,clinicaltrials,PNEUMONIA,D000011014,2,"NCT05692258, NCT04374084"
BL13,clinicaltrials,"PNEUMONIA, VIRAL",D000011024,2,"NCT05692258, NCT04374084"
BL13,clinicaltrials,RESPIRATORY HYPERSENSITIVITY,D000012130,4,"NCT02580682, NCT01931696, NCT02580942, NCT00917215"
BL13,clinicaltrials,RESPIRATORY TRACT DISEASES,D000012140,10,"NCT02580682, NCT05930262, NCT05692258, NCT01931696, NCT03169504, NCT04374084, NCT01408212, NCT02580942, NCT00917215, NCT04051398"
BL13,clinicaltrials,RESPIRATORY TRACT INFECTIONS,D000012141,3,"NCT02580682, NCT05692258, NCT04374084"
BL13,clinicaltrials,RESPIRATORY TRACT NEOPLASMS,D000012142,2,"NCT01408212, NCT04051398"
BL13,clinicaltrials,RNA VIRUS INFECTIONS,D000012327,2,"NCT05692258, NCT04374084"
BL13,clinicaltrials,THORACIC NEOPLASMS,D000013899,2,"NCT01408212, NCT04051398"
BL13,clinicaltrials,VASCULAR DISEASES,D000014652,2,"NCT05930262, NCT02850471"
BL13,clinicaltrials,VIRUS DISEASES,D000014777,2,"NCT05692258, NCT04374084"
BL14,clinicaltrials,WOUNDS AND INJURIES,D000014947,2,"NCT02868671, NCT01395511"
BL15,clinicaltrials,BASAL GANGLIA DISEASES,D000001480,2,"NCT02403258, NCT04874090"
BL15,clinicaltrials,BEHAVIORAL SYMPTOMS,D000001526,2,"NCT04319562, NCT02472613"
BL15,clinicaltrials,BRAIN DISEASES,D000001927,5,"NCT02403258, NCT02472613, NCT04874090, NCT02868671, NCT04673071"
BL15,clinicaltrials,CENTRAL NERVOUS SYSTEM DISEASES,D000002493,5,"NCT02403258, NCT02472613, NCT04874090, NCT02868671, NCT04673071"
BL15,clinicaltrials,DEPRESSION,D000003863,2,"NCT04319562, NCT02472613"
BL15,clinicaltrials,DEPRESSIVE DISORDER,D000003866,2,"NCT04319562, NCT02472613"
BL15,clinicaltrials,MENTAL DISORDERS,D000001523,6,"NCT02403258, NCT04319562, NCT03444896, NCT06606418, NCT02472613, NCT04980703"
BL15,clinicaltrials,MOOD DISORDERS,D000019964,2,"NCT04319562, NCT02472613"
BL15,clinicaltrials,MOVEMENT DISORDERS,D000009069,2,"NCT02403258, NCT04874090"
BL15,clinicaltrials,NERVOUS SYSTEM DISEASES,D000009422,7,"NCT02403258, NCT06606418, NCT02472613, NCT04980703, NCT04874090, NCT02868671, NCT04673071"
BL15,clinicaltrials,NEURODEGENERATIVE DISEASES,D000019636,2,"NCT02403258, NCT04874090"
BL15,clinicaltrials,SLEEP WAKE DISORDERS,D000012893,2,"NCT06606418, NCT04980703"
BL17,clinicaltrials,LUNG DISEASES,D000008171,2,"NCT02663492, NCT04374084"
BL17,clinicaltrials,NERVOUS SYSTEM DISEASES,D000009422,2,"NCT06606418, NCT02868671"
BL17,clinicaltrials,NEUROLOGIC MANIFESTATIONS,D000009461,2,"NCT05408377, NCT05232487"
BL17,clinicaltrials,PAIN,D000010146,2,"NCT05408377, NCT05232487"
BL17,clinicaltrials,RESPIRATORY TRACT DISEASES,D000012140,2,"NCT02663492, NCT04374084"
BL17,clinicaltrials,WOUNDS AND INJURIES,D000014947,2,"NCT01512576, NCT02868671"
BL18,clinicaltrials,BASAL GANGLIA DISEASES,D000001480,2,"NCT02403258, NCT04874090"
BL18,clinicaltrials,BRAIN DISEASES,D000001927,4,"NCT02403258, NCT04874090, NCT02868671, NCT04673071"
BL18,clinicaltrials,CENTRAL NERVOUS SYSTEM DISEASES,D000002493,4,"NCT02403258, NCT04874090, NCT02868671, NCT04673071"
BL18,clinicaltrials,DIABETES MELLITUS,D000003920,2,"NCT05347030, NCT05863793"
BL18,clinicaltrials,DIGESTIVE SYSTEM DISEASES,D000004066,2,"NCT03891147, NCT05353933"
BL18,clinicaltrials,ENDOCRINE SYSTEM DISEASES,D000004700,2,"NCT05347030, NCT05863793"
BL18,clinicaltrials,MENTAL DISORDERS,D000001523,3,"NCT02403258, NCT04319562, NCT06606418"
BL18,clinicaltrials,METABOLIC DISEASES,D000008659,3,"NCT05347030, NCT02269046, NCT05559619"
BL18,clinicaltrials,MOVEMENT DISORDERS,D000009069,2,"NCT02403258, NCT04874090"
BL18,clinicaltrials,NERVOUS SYSTEM DISEASES,D000009422,7,"NCT02403258, NCT06606418, NCT04874090, NCT02290015, NCT02868671, NCT04673071, NCT05863793"
BL18,clinicaltrials,NEURODEGENERATIVE DISEASES,D000019636,2,"NCT02403258, NCT04874090"
BL18,clinicaltrials,NEUROLOGIC MANIFESTATIONS,D000009461,3,"NCT04874090, NCT02290015, NCT05408377"
BL18,clinicaltrials,PAIN,D000010146,2,"NCT04874090, NCT05408377"
BL18,clinicaltrials,WOUNDS AND INJURIES,D000014947,2,"NCT05728450, NCT02868671"
BL2,clinicaltrials,ACNE VULGARIS,D000000152,2,"NCT04156815, NCT03264287"
BL2,clinicaltrials,ACNEIFORM ERUPTIONS,D000017486,2,"NCT04156815, NCT03264287"
BL2,clinicaltrials,BELL PALSY,D000020330,3,"NCT06063954, NCT03592797, NCT06573697"
BL2,clinicaltrials,BRAIN DISEASES,D000001927,3,"NCT06219694, NCT01096420, NCT06584409"
BL2,clinicaltrials,CENTRAL NERVOUS SYSTEM DISEASES,D000002493,3,"NCT06219694, NCT01096420, NCT06584409"
BL2,clinicaltrials,CONJUNCTIVAL DISEASES,D000003229,6,"NCT06475027, NCT05552820, NCT00969280, NCT03204903, NCT01105221, NCT04877483"
BL2,clinicaltrials,CONJUNCTIVITIS,D000003231,6,"NCT06475027, NCT05552820, NCT00969280, NCT03204903, NCT01105221, NCT04877483"
BL2,clinicaltrials,CORNEAL DISEASES,D000003316,6,"NCT06475027, NCT05552820, NCT00969280, NCT03204903, NCT01105221, NCT04877483"
BL2,clinicaltrials,CRANIAL NERVE DISEASES,D000003389,3,"NCT06063954, NCT03592797, NCT06573697"
BL2,clinicaltrials,DISEASE,D000004194,3,"NCT06475027, NCT00969280, NCT04877483"
BL2,clinicaltrials,DNA VIRUS INFECTIONS,D000004266,3,"NCT06063954, NCT03592797, NCT06573697"
BL2,clinicaltrials,DRY EYE SYNDROMES,D000015352,6,"NCT06475027, NCT05552820, NCT00969280, NCT03204903, NCT01105221, NCT04877483"
BL2,clinicaltrials,EYE DISEASES,D000005128,7,"NCT06475027, NCT05552820, NCT00969280, NCT03204903, NCT01105221, NCT05753137, NCT04877483"
BL2,clinicaltrials,FACIAL NERVE DISEASES,D000005155,3,"NCT06063954, NCT03592797, NCT06573697"
BL2,clinicaltrials,FACIAL PARALYSIS,D000005158,3,"NCT06063954, NCT03592797, NCT06573697"
BL2,clinicaltrials,HEADACHE DISORDERS,D000020773,3,"NCT06219694, NCT01096420, NCT06584409"
BL2,clinicaltrials,"HEADACHE DISORDERS, PRIMARY",D000051270,3,"NCT06219694, NCT01096420, NCT06584409"
BL2,clinicaltrials,HERPESVIRIDAE INFECTIONS,D000006566,3,"NCT06063954, NCT03592797, NCT06573697"
BL2,clinicaltrials,HYPERSENSITIVITY,D000006967,2,"NCT05553483, NCT05915507"
BL2,clinicaltrials,"HYPERSENSITIVITY, IMMEDIATE",D000006969,2,"NCT05553483, NCT05915507"
BL2,clinicaltrials,IMMUNE SYSTEM DISEASES,D000007154,3,"NCT06475027, NCT05553483, NCT05915507"
BL2,clinicaltrials,INFECTIONS,D000007239,5,"NCT06063954, NCT05553483, NCT03592797, NCT06573697, NCT05915507"
BL2,clinicaltrials,KERATITIS,D000007634,6,"NCT06475027, NCT05552820, NCT00969280, NCT03204903, NCT01105221, NCT04877483"
BL2,clinicaltrials,KERATOCONJUNCTIVITIS,D000007637,6,"NCT06475027, NCT05552820, NCT00969280, NCT03204903, NCT01105221, NCT04877483"
BL2,clinicaltrials,KERATOCONJUNCTIVITIS SICCA,D000007638,6,"NCT06475027, NCT05552820, NCT00969280, NCT03204903, NCT01105221, NCT04877483"
BL2,clinicaltrials,LACRIMAL APPARATUS DISEASES,D000007766,6,"NCT06475027, NCT05552820, NCT00969280, NCT03204903, NCT01105221, NCT04877483"
BL2,clinicaltrials,MIGRAINE DISORDERS,D000008881,3,"NCT06219694, NCT01096420, NCT06584409"
BL2,clinicaltrials,MOUTH DISEASES,D000009059,4,"NCT06475027, NCT06063954, NCT03592797, NCT06573697"
BL2,clinicaltrials,NERVOUS SYSTEM DISEASES,D000009422,6,"NCT06219694, NCT01096420, NCT06063954, NCT06584409, NCT03592797, NCT06573697"
BL2,clinicaltrials,NEUROLOGIC MANIFESTATIONS,D000009461,5,"NCT03328819, NCT06063954, NCT06584409, NCT03592797, NCT06573697"
BL2,clinicaltrials,NOSE DISEASES,D000009668,2,"NCT05553483, NCT05915507"
BL2,clinicaltrials,OTORHINOLARYNGOLOGIC DISEASES,D000010038,2,"NCT05553483, NCT05915507"
BL2,clinicaltrials,PAIN,D000010146,2,"NCT03328819, NCT06584409"
BL2,clinicaltrials,PARALYSIS,D000010243,3,"NCT06063954, NCT03592797, NCT06573697"
BL2,clinicaltrials,PATHOLOGIC PROCESSES,D000010335,4,"NCT06475027, NCT00969280, NCT04877483, NCT03592797"
BL2,clinicaltrials,RESPIRATORY HYPERSENSITIVITY,D000012130,2,"NCT05553483, NCT05915507"
BL2,clinicaltrials,RESPIRATORY TRACT DISEASES,D000012140,2,"NCT05553483, NCT05915507"
BL2,clinicaltrials,RESPIRATORY TRACT INFECTIONS,D000012141,2,"NCT05553483, NCT05915507"
BL2,clinicaltrials,RHINITIS,D000012220,2,"NCT05553483, NCT05915507"
BL2,clinicaltrials,"RHINITIS, ALLERGIC",D000065631,2,"NCT05553483, NCT05915507"
BL2,clinicaltrials,SEBACEOUS GLAND DISEASES,D000012625,2,"NCT04156815, NCT03264287"
BL2,clinicaltrials,SKIN DISEASES,D000012871,2,"NCT04156815, NCT03264287"
BL2,clinicaltrials,STOMATOGNATHIC DISEASES,D000009057,4,"NCT06475027, NCT06063954, NCT03592797, NCT06573697"
BL2,clinicaltrials,SYNDROME,D000013577,3,"NCT06475027, NCT00969280, NCT04877483"
BL2,clinicaltrials,VIRUS DISEASES,D000014777,3,"NCT06063954, NCT03592797, NCT06573697"
BL2,clinicaltrials,XEROPHTHALMIA,D000014985,2,"NCT06475027, NCT04877483"
BL20,clinicaltrials,BACK PAIN,D000001416,2,"NCT06280846, NCT06260631"
BL20,clinicaltrials,BODY WEIGHT,D000001835,5,"NCT02936973, NCT05347030, NCT04606680, NCT04501198, NCT06091761"
BL20,clinicaltrials,BRAIN DISEASES,D000001927,2,"NCT02472613, NCT02868671"
BL20,clinicaltrials,CENTRAL NERVOUS SYSTEM DISEASES,D000002493,3,"NCT05558657, NCT02472613, NCT02868671"
BL20,clinicaltrials,DIABETES MELLITUS,D000003920,3,"NCT05347030, NCT04076800, NCT05863793"
BL20,clinicaltrials,DISEASE ATTRIBUTES,D000020969,2,"NCT03169504, NCT04374084"
BL20,clinicaltrials,ENDOCRINE SYSTEM DISEASES,D000004700,3,"NCT05347030, NCT04076800, NCT05863793"
BL20,clinicaltrials,GLUCOSE METABOLISM DISORDERS,D000044882,2,"NCT05347030, NCT04076800"
BL20,clinicaltrials,HYPERSENSITIVITY,D000006967,2,"NCT02580682, NCT02580942"
BL20,clinicaltrials,"HYPERSENSITIVITY, IMMEDIATE",D000006969,2,"NCT02580682, NCT02580942"
BL20,clinicaltrials,IMMUNE SYSTEM DISEASES,D000007154,3,"NCT02580682, NCT01619176, NCT02580942"
BL20,clinicaltrials,INFECTIONS,D000007239,2,"NCT02580682, NCT04374084"
BL20,clinicaltrials,LOW BACK PAIN,D000017116,2,"NCT06280846, NCT06260631"
BL20,clinicaltrials,LUNG DISEASES,D000008171,3,"NCT03169504, NCT04374084, NCT02580942"
BL20,clinicaltrials,"LUNG DISEASES, OBSTRUCTIVE",D000008173,2,"NCT03169504, NCT02580942"
BL20,clinicaltrials,MENTAL DISORDERS,D000001523,3,"NCT06606418, NCT02472613, NCT04980703"
BL20,clinicaltrials,METABOLIC DISEASES,D000008659,4,"NCT05347030, NCT02269046, NCT04076800, NCT05559619"
BL20,clinicaltrials,MUSCULOSKELETAL DISEASES,D000009140,2,"NCT01619176, NCT05559619"
BL20,clinicaltrials,NERVOUS SYSTEM DISEASES,D000009422,6,"NCT05558657, NCT06606418, NCT02472613, NCT04980703, NCT02868671, NCT05863793"
BL20,clinicaltrials,NEUROLOGIC MANIFESTATIONS,D000009461,2,"NCT06280846, NCT06260631"
BL20,clinicaltrials,NUTRITION DISORDERS,D000009748,5,"NCT02936973, NCT05347030, NCT04606680, NCT04501198, NCT06091761"
BL20,clinicaltrials,OBESITY,D000009765,4,"NCT02936973, NCT04606680, NCT04501198, NCT06091761"
BL20,clinicaltrials,OVERNUTRITION,D000044343,5,"NCT02936973, NCT05347030, NCT04606680, NCT04501198, NCT06091761"
BL20,clinicaltrials,OVERWEIGHT,D000050177,5,"NCT02936973, NCT05347030, NCT04606680, NCT04501198, NCT06091761"
BL20,clinicaltrials,PAIN,D000010146,2,"NCT06280846, NCT06260631"
BL20,clinicaltrials,PATHOLOGIC PROCESSES,D000010335,2,"NCT03169504, NCT04374084"
BL20,clinicaltrials,RESPIRATORY HYPERSENSITIVITY,D000012130,2,"NCT02580682, NCT02580942"
BL20,clinicaltrials,RESPIRATORY TRACT DISEASES,D000012140,4,"NCT02580682, NCT03169504, NCT04374084, NCT02580942"
BL20,clinicaltrials,RESPIRATORY TRACT INFECTIONS,D000012141,2,"NCT02580682, NCT04374084"
BL20,clinicaltrials,SLEEP WAKE DISORDERS,D000012893,2,"NCT06606418, NCT04980703"
BL20,clinicaltrials,"TRAUMA, NERVOUS SYSTEM",D000020196,2,"NCT05558657, NCT02868671"
BL20,clinicaltrials,WOUNDS AND INJURIES,D000014947,2,"NCT05558657, NCT02868671"
BL21,clinicaltrials,BODY WEIGHT,D000001835,2,"NCT02936973, NCT05347030"
BL21,clinicaltrials,NUTRITION DISORDERS,D000009748,2,"NCT02936973, NCT05347030"
BL21,clinicaltrials,OVERNUTRITION,D000044343,2,"NCT02936973, NCT05347030"
BL21,clinicaltrials,OVERWEIGHT,D000050177,2,"NCT02936973, NCT05347030"
BL21,clinicaltrials,"SIGNS AND SYMPTOMS, DIGESTIVE",D000012817,2,"NCT06566274, NCT05558657"
BL23,clinicaltrials,BACK PAIN,D000001416,19,"NCT06342791, NCT06102291, NCT05704127, NCT02631382, NCT04976790, NCT05310214, NCT01701804, NCT04238117, NCT03685864, NCT06280846, NCT02289170, NCT05040243, NCT02012205, NCT00925951, NCT03501771, NCT06260631, NCT05319288, NCT03802045, NCT05232487"
BL23,clinicaltrials,BASAL GANGLIA DISEASES,D000001480,2,"NCT02403258, NCT04874090"
BL23,clinicaltrials,BEHAVIORAL SYMPTOMS,D000001526,4,"NCT05399173, NCT03328819, NCT02472613, NCT05631145"
BL23,clinicaltrials,BODY WEIGHT,D000001835,2,"NCT04606680, NCT04501198"
BL23,clinicaltrials,BONE DISEASES,D000001847,9,"NCT03784729, NCT01987622, NCT05273346, NCT02644746, NCT03571503, NCT06102798, NCT01791933, NCT05559619, NCT02384928"
BL23,clinicaltrials,BRAIN DISEASES,D000001927,6,"NCT02403258, NCT05930262, NCT02975362, NCT02472613, NCT04874090, NCT02868671"
BL23,clinicaltrials,CARDIOVASCULAR DISEASES,D000002318,4,"NCT03784729, NCT05930262, NCT02975362, NCT02472613"
BL23,clinicaltrials,CENTRAL NERVOUS SYSTEM DISEASES,D000002493,8,"NCT05558657, NCT03909958, NCT02403258, NCT05930262, NCT02975362, NCT02472613, NCT04874090, NCT02868671"
BL23,clinicaltrials,CEREBROVASCULAR DISORDERS,D000002561,3,"NCT05930262, NCT02975362, NCT02472613"
BL23,clinicaltrials,CHRONIC DISEASE,D000002908,5,"NCT02588274, NCT03169504, NCT03213938, NCT05075551, NCT03641807"
BL23,clinicaltrials,"CONSTRICTION, PATHOLOGIC",D000003251,5,"NCT03784729, NCT01987622, NCT05273346, NCT02644746, NCT06102798"
BL23,clinicaltrials,DEPRESSION,D000003863,3,"NCT03328819, NCT02472613, NCT05631145"
BL23,clinicaltrials,DEPRESSIVE DISORDER,D000003866,2,"NCT03328819, NCT02472613"
BL23,clinicaltrials,DIABETES MELLITUS,D000003920,2,"NCT04076800, NCT05863793"
BL23,clinicaltrials,DISEASE,D000004194,6,"NCT02403258, NCT05279963, NCT01701804, NCT03213938, NCT05075551, NCT03641807"
BL23,clinicaltrials,DISEASE ATTRIBUTES,D000020969,5,"NCT02588274, NCT03169504, NCT03213938, NCT05075551, NCT03641807"
BL23,clinicaltrials,ENDOCRINE SYSTEM DISEASES,D000004700,2,"NCT04076800, NCT05863793"
BL23,clinicaltrials,FEMALE UROGENITAL DISEASES,D000052776,7,"NCT05399173, NCT01259180, NCT06354244, NCT05279963, NCT04931355, NCT03662906, NCT05798403"
BL23,clinicaltrials,FEMALE UROGENITAL DISEASES AND PREGNANCY COMPLICATIONS,D000005261,7,"NCT05399173, NCT01259180, NCT06354244, NCT05279963, NCT04931355, NCT03662906, NCT05798403"
BL23,clinicaltrials,GENITAL DISEASES,D000091662,7,"NCT02588274, NCT01259180, NCT05069467, NCT04931355, NCT03213938, NCT05075551, NCT03641807"
BL23,clinicaltrials,"GENITAL DISEASES, FEMALE",D000005831,2,"NCT01259180, NCT04931355"
BL23,clinicaltrials,"GENITAL DISEASES, MALE",D000005832,5,"NCT02588274, NCT05069467, NCT03213938, NCT05075551, NCT03641807"
BL23,clinicaltrials,HERNIA,D000006547,2,"NCT03571503, NCT02384928"
BL23,clinicaltrials,HYPERSENSITIVITY,D000006967,2,"NCT02580682, NCT02580942"
BL23,clinicaltrials,"HYPERSENSITIVITY, IMMEDIATE",D000006969,2,"NCT02580682, NCT02580942"
BL23,clinicaltrials,IMMUNE SYSTEM DISEASES,D000007154,3,"NCT02580682, NCT01619176, NCT02580942"
BL23,clinicaltrials,INFECTIONS,D000007239,2,"NCT02580682, NCT05631145"
BL23,clinicaltrials,INTERVERTEBRAL DISC DISPLACEMENT,D000007405,2,"NCT03571503, NCT02384928"
BL23,clinicaltrials,LOW BACK PAIN,D000017116,18,"NCT06342791, NCT06102291, NCT05704127, NCT02631382, NCT04976790, NCT05310214, NCT04238117, NCT03685864, NCT06280846, NCT02289170, NCT05040243, NCT02012205, NCT00925951, NCT03501771, NCT06260631, NCT05319288, NCT03802045, NCT05232487"
BL23,clinicaltrials,LOWER URINARY TRACT SYMPTOMS,D000059411,2,"NCT05399173, NCT05798403"
BL23,clinicaltrials,LUNG DISEASES,D000008171,5,"NCT05930262, NCT03169504, NCT01408212, NCT02580942, NCT05631145"
BL23,clinicaltrials,"LUNG DISEASES, OBSTRUCTIVE",D000008173,2,"NCT03169504, NCT02580942"
BL23,clinicaltrials,MALE UROGENITAL DISEASES,D000052801,10,"NCT05399173, NCT02588274, NCT05069467, NCT06354244, NCT05279963, NCT03213938, NCT03662906, NCT05798403, NCT05075551, NCT03641807"
BL23,clinicaltrials,MENTAL DISORDERS,D000001523,9,"NCT05399173, NCT02403258, NCT02975362, NCT06606418, NCT03328819, NCT02472613, NCT03213938, NCT03641807, NCT06463197"
BL23,clinicaltrials,METABOLIC DISEASES,D000008659,3,"NCT02269046, NCT04076800, NCT05559619"
BL23,clinicaltrials,MONONEUROPATHIES,D000020422,7,"NCT03350789, NCT02770963, NCT03489681, NCT03801512, NCT03571503, NCT03501771, NCT02384928"
BL23,clinicaltrials,MOOD DISORDERS,D000019964,2,"NCT03328819, NCT02472613"
BL23,clinicaltrials,MOVEMENT DISORDERS,D000009069,2,"NCT02403258, NCT04874090"
BL23,clinicaltrials,MUSCULOSKELETAL DISEASES,D000009140,10,"NCT03784729, NCT01619176, NCT01987622, NCT05273346, NCT02644746, NCT03571503, NCT06102798, NCT01791933, NCT05559619, NCT02384928"
BL23,clinicaltrials,NECK PAIN,D000019547,2,"NCT04874090, NCT01791933"
BL23,clinicaltrials,NEOPLASMS,D000009369,2,"NCT05069467, NCT01408212"
BL23,clinicaltrials,NEOPLASMS BY SITE,D000009371,2,"NCT05069467, NCT01408212"
BL23,clinicaltrials,NERVOUS SYSTEM DISEASES,D000009422,19,"NCT05558657, NCT03909958, NCT02403258, NCT05930262, NCT03350789, NCT02975362, NCT02770963, NCT03489681, NCT06606418, NCT02472613, NCT03801512, NCT03571503, NCT04874090, NCT02290015, NCT03501771, NCT02868671, NCT06463197, NCT05863793, NCT02384928"
BL23,clinicaltrials,NEURALGIA,D000009437,7,"NCT03350789, NCT02770963, NCT03489681, NCT03801512, NCT03571503, NCT03501771, NCT02384928"
BL23,clinicaltrials,NEURODEGENERATIVE DISEASES,D000019636,2,"NCT02403258, NCT04874090"
BL23,clinicaltrials,NEUROLOGIC MANIFESTATIONS,D000009461,35,"NCT06342791, NCT06102291, NCT05704127, NCT02588274, NCT02631382, NCT01259180, NCT03350789, NCT04976790, NCT02770963, NCT05310214, NCT03489681, NCT01701804, NCT05223517, NCT03328819, NCT04238117, NCT03685864, NCT03801512, NCT06280846, NCT03213938, NCT02289170, NCT03571503, NCT04874090, NCT05040243, NCT02290015, NCT02012205, NCT05075551, NCT00925951, NCT03641807, NCT03501771, NCT01791933, NCT06260631, NCT05319288, NCT02384928, NCT03802045, NCT05232487"
BL23,clinicaltrials,NEUROMUSCULAR DISEASES,D000009468,8,"NCT03350789, NCT02770963, NCT03489681, NCT03801512, NCT03571503, NCT03501771, NCT05863793, NCT02384928"
BL23,clinicaltrials,NUTRITION DISORDERS,D000009748,2,"NCT04606680, NCT04501198"
BL23,clinicaltrials,OBESITY,D000009765,2,"NCT04606680, NCT04501198"
BL23,clinicaltrials,OTORHINOLARYNGOLOGIC DISEASES,D000010038,2,"NCT02580682, NCT02290015"
BL23,clinicaltrials,OVERNUTRITION,D000044343,2,"NCT04606680, NCT04501198"
BL23,clinicaltrials,OVERWEIGHT,D000050177,2,"NCT04606680, NCT04501198"
