Row_Number,Acupoint_Code,Relation,Action_Target,Indication,Pinyin_Name,Chinese_Name,SNOMED_code,Mesh_Term,Mesh_Id,NCT_Ids,PMIDs,Acupoint,Anatomy,UBERON code,SNOMED CT code,,,,,,,,,,,,
91,LI12,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,,
92,LI12,disinhibits,Joints,,,,,,,,,,,,,,,,,,,,,,,,
93,LI13,courses,Channels,,,,,,,,,,,,,,,,,,,,,,,,
94,LI13,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,,
95,LI13,disinhibits,Joints,,,,,,,,,,,,,,,,,,,,,,,,
96,LI14,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
97,LI14,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,,
98,LI14,resolves,Phlegm,,,,,,,,,,,,,,,,,,,,,,,,
99,LI14,disperses,Masses,,,,,,,,,,,,,,,,,,,,,,,,
100,LI15,benefits,Sinews,,,,,,,,,,,,,,,,,,,,,,,,
101,LI15,promotes,Qi Circulation In Channels,,,,,,,,,,,,,,,,,,,,,,,,
102,LI15,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,,
103,LI15,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,,
104,LI16,moves,Blood,,,,,,,,,,,,,,,,,,,,,,,,
105,LI16,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
106,LI16,opens,Chest,,,,,,,,,,,,,,,,,,,,,,,,
107,LI16,subdues,Ascending Rebellious Qi,,,,,,,,,,,,,,,,,,,,,,,,
108,LI16,stimulates,Lung Qi Descending,,,,,,,,,,,,,,,,,,,,,,,,
109,LI16,benefits,Joints,,,,,,,,,,,,,,,,,,,,,,,,
110,LI17,disinhibits,Throat,,,,,,,,,,,,,,,,,,,,,,,,
111,LI17,clears,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,,
112,LI18,benefits,Throat,,,,,,,,,,,,,,,,,,,,,,,,
113,LI18,relieves,Cough,,,,,,,,,,,,,,,,,,,,,,,,
114,LI18,resolves,Phlegm,,,,,,,,,,,,,,,,,,,,,,,,
115,LI18,disperses,Masses,,,,,,,,,,,,,,,,,,,,,,,,
116,LI19,diffuses,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,,
117,LI19,clears,Lung Heat,,,,,,,,,,,,,,,,,,,,,,,,
118,LI19,clears,Nose,,,,,,,,,,,,,,,,,,,,,,,,
119,LI19,rouses,Spirit,,,,,,,,,,,,,,,,,,,,,,,,
120,LI20,dispels,Exterior Wind,,,,,,,,,,,,,,,,,,,,,,,,
121,ST1,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,,
122,ST1,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,,
123,ST1,stops,Lacrimation,,,,,,,,,,,,,,,,,,,,,,,,
124,ST2,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,,
125,ST2,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,,
126,ST3,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,,
127,ST3,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
128,ST3,relieves,Swelling,,,,,,,,,,,,,,,,,,,,,,,,
129,ST4,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,,
130,ST4,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
131,ST4,benefits,Tendons,,,,,,,,,,,,,,,,,,,,,,,,
132,ST4,benefits,Muscles,,,,,,,,,,,,,,,,,,,,,,,,
133,ST5,courses,Wind,,,,,,,,,,,,,,,,,,,,,,,,
134,ST5,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,,
135,ST6,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,,
136,ST6,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
137,ST7,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
138,ST7,benefits,Ears,,,,,,,,,,,,,,,,,,,,,,,,
139,ST8,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,,
140,ST8,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,,
141,ST8,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,,
142,ST8,relieves,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,
143,ST8,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,,
144,ST9,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,,
145,ST9,removes,Masses,,,,,,,,,,,,,,,,,,,,,,,,
146,ST9,benefits,Throat,,,,,,,,,,,,,,,,,,,,,,,,
147,ST9,relieves,Swelling,,,,,,,,,,,,,,,,,,,,,,,,
148,ST10,rectifies,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,,
149,ST10,disinhibits,Throat,,,,,,,,,,,,,,,,,,,,,,,,
150,ST11,courses,Qi,,,,,,,,,,,,,,,,,,,,,,,,
151,ST11,downbears,Counterflow,,,,,,,,,,,,,,,,,,,,,,,,
152,ST12,subdues,Rebellious Qi,,,,,,,,,,,,,,,,,,,,,,,,
153,ST13,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,,
154,ST13,loosens,Chest,,,,,,,,,,,,,,,,,,,,,,,,
155,ST14,rectifies,Qi,,,,,,,,,,,,,,,,,,,,,,,,
156,ST14,loosens,Chest,,,,,,,,,,,,,,,,,,,,,,,,
157,ST15,courses,Wind,,,,,,,,,,,,,,,,,,,,,,,,
158,ST15,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,,
159,ST16,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,,
160,ST16,resolves,Depression,,,,,,,,,,,,,,,,,,,,,,,,
161,ST16,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,,
162,ST16,disperses,Swelling,,,,,,,,,,,,,,,,,,,,,,,,
163,ST18,regulates,Stomach Qi,,,,,,,,,,,,,,,,,,,,,,,,
164,ST18,regulates,Breasts,,,,,,,,,,,,,,,,,,,,,,,,
165,ST18,regulates,Lactation,,,,,,,,,,,,,,,,,,,,,,,,
166,ST18,dispels,Stagnation,,,,,,,,,,,,,,,,,,,,,,,,
167,ST19,regulates,Center,,,,,,,,,,,,,,,,,,,,,,,,
168,ST19,harmonizes,Stomach,,,,,,,,,,,,,,,,,,,,,,,,
169,ST20,harmonizes,Stomach,,,,,,,,,,,,,,,,,,,,,,,,
170,ST20,rectifies,Qi,,,,,,,,,,,,,,,,,,,,,,,,
171,ST21,regulates,Stomach,,,,,,,,,,,,,,,,,,,,,,,,
172,ST21,subdues,Rebellious Qi,,,,,,,,,,,,,,,,,,,,,,,,
173,ST21,stops,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,
174,ST21,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,,
175,ST22,regulates,Stomach,,,,,,,,,,,,,,,,,,,,,,,,
176,ST22,regulates,Intestines,,,,,,,,,,,,,,,,,,,,,,,,
177,ST23,clears,Heart,,,,,,,,,,,,,,,,,,,,,,,,
178,ST23,quiets,Spirit,,,,,,,,,,,,,,,,,,,,,,,,
179,ST23,fortifies,Spleen,,,,,,,,,,,,,,,,,,,,,,,,
180,ST23,harmonizes,Center,,,,,,,,,,,,,,,,,,,,,,,,
181,ST24,quiets,Spirit,,,,,,,,,,,,,,,,,,,,,,,,
182,ST24,stabilizes,Disposition,,,,,,,,,,,,,,,,,,,,,,,,
183,ST24,regulates,Stomach,,,,,,,,,,,,,,,,,,,,,,,,
184,ST24,harmonizes,Stomach,,,,,,,,,,,,,,,,,,,,,,,,
185,ST24,regulates,Intestines,,,,,,,,,,,,,,,,,,,,,,,,
186,ST24,harmonizes,Intestines,,,,,,,,,,,,,,,,,,,,,,,,
187,ST25,promotes,Intestines Function,,,,,,,,,,,,,,,,,,,,,,,,
188,ST25,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,,
189,ST25,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,,
190,ST25,relieves,Food Retention,,,,,,,,,,,,,,,,,,,,,,,,
191,ST26,dissipates,Cold,,,,,,,,,,,,,,,,,,,,,,,,
192,ST26,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,,
193,ST26,rectifies,Qi,,,,,,,,,,,,,,,,,,,,,,,,
194,ST27,regulates,Stomach Qi,,,,,,,,,,,,,,,,,,,,,,,,
195,ST28,benefits,Urination,,,,,,,,,,,,,,,,,,,,,,,,
196,ST28,opens,Water Passages,,,,,,,,,,,,,,,,,,,,,,,,
197,ST28,benefits,Urination Difficulty,,,,,,,,,,,,,,,,,,,,,,,,
198,ST29,relieves,Blood Stagnation,,,,,,,,,,,,,,,,,,,,,,,,
199,ST30,regulates,Stomach Qi,,,,,,,,,,,,,,,,,,,,,,,,
200,ST30,regulates,Penetrating Vessels,,,,,,,,,,,,,,,,,,,,,,,,
201,ST30,promotes,Essence,,,,,,,,,,,,,,,,,,,,,,,,
202,ST30,tonifies,Nourishment,,,,,,,,,,,,,,,,,,,,,,,,
203,ST30,regulates,Blood,,,,,,,,,,,,,,,,,,,,,,,,
204,ST31,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
205,ST32,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
206,ST32,expels,Wind Heat,,,,,,,,,,,,,,,,,,,,,,,,
207,ST33,courses,Wind,,,,,,,,,,,,,,,,,,,,,,,,
208,ST33,dissipates,Cold,,,,,,,,,,,,,,,,,,,,,,,,
209,ST33,frees,Channels,,,,,,,,,,,,,,,,,,,,,,,,
210,ST33,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,,
211,ST33,disinhibits,Joints,,,,,,,,,,,,,,,,,,,,,,,,
212,ST34,subdues,Rebellious Stomach Qi,,,,,,,,,,,,,,,,,,,,,,,,
213,ST34,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
214,ST34,expels,Damp,,,,,,,,,,,,,,,,,,,,,,,,
215,ST34,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,,
216,ST35,invigorates,Channels,,,,,,,,,,,,,,,,,,,,,,,,
217,ST35,relieves,Swelling,,,,,,,,,,,,,,,,,,,,,,,,
218,ST35,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,,
219,ST36,benefits,Stomach,,,,,,,,,,,,,,,,,,,,,,,,
220,ST36,benefits,Spleen,,,,,,,,,,,,,,,,,,,,,,,,
221,ST36,tonifies,Qi,,,,,,,,,,,,,,,,,,,,,,,,
222,ST36,tonifies,Blood,,,,,,,,,,,,,,,,,,,,,,,,
223,ST36,dispels,Cold,,,,,,,,,,,,,,,,,,,,,,,,
224,ST36,strengthens,Body,,,,,,,,,,,,,,,,,,,,,,,,
225,ST36,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,,
226,ST36,regulates,Nutritive Qi,,,,,,,,,,,,,,,,,,,,,,,,
227,ST36,regulates,Defensive Qi,,,,,,,,,,,,,,,,,,,,,,,,
228,ST36,regulates,Intestines,,,,,,,,,,,,,,,,,,,,,,,,
229,ST36,raises,Yang,,,,,,,,,,,,,,,,,,,,,,,,
230,ST36,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,,
231,ST36,expels,Damp,,,,,,,,,,,,,,,,,,,,,,,,
232,ST36,resolves,Edema,,,,,,,,,,,,,,,,,,,,,,,,
233,ST37,regulates,Stomach Function,,,,,,,,,,,,,,,,,,,,,,,,
234,ST37,regulates,Intestines Function,,,,,,,,,,,,,,,,,,,,,,,,
235,ST37,eliminates,Damp Heat,,,,,,,,,,,,,,,,,,,,,,,,
236,ST37,dispels,Food Retention,,,,,,,,,,,,,,,,,,,,,,,,
237,ST37,calms,Asthma,,,,,,,,,,,,,,,,,,,,,,,,
238,ST38,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
239,ST39,regulates,Stomach Function,,,,,,,,,,,,,,,,,,,,,,,,
240,ST39,regulates,Intestines Function,,,,,,,,,,,,,,,,,,,,,,,,
241,ST39,eliminates,Damp Heat,,,,,,,,,,,,,,,,,,,,,,,,
242,ST39,eliminates,Wind Damp,,,,,,,,,,,,,,,,,,,,,,,,
243,ST39,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,,
244,ST40,resolves,Phlegm,,,,,,,,,,,,,,,,,,,,,,,,
245,ST40,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,,
246,ST40,calms,Asthma,,,,,,,,,,,,,,,,,,,,,,,,
247,ST40,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,,
248,ST40,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,,
249,ST40,clears,Mind,,,,,,,,,,,,,,,,,,,,,,,,
250,ST40,opens,Chest,,,,,,,,,,,,,,,,,,,,,,,,
251,ST41,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
252,ST41,eliminates,Wind,,,,,,,,,,,,,,,,,,,,,,,,
253,ST41,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,,
254,ST41,clears,Mind,,,,,,,,,,,,,,,,,,,,,,,,
255,ST41,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,,
256,ST42,tonifies,Stomach,,,,,,,,,,,,,,,,,,,,,,,,
257,ST42,tonifies,Spleen,,,,,,,,,,,,,,,,,,,,,,,,
258,ST42,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,,
259,ST42,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
260,ST43,eliminates,Wind,,,,,,,,,,,,,,,,,,,,,,,,
261,ST43,eliminates,Heat,,,,,,,,,,,,,,,,,,,,,,,,
262,ST43,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
263,ST44,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,,
264,ST44,eliminates,Fullness,,,,,,,,,,,,,,,,,,,,,,,,
265,ST44,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,,
266,ST44,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,,
267,ST44,promotes,Digestion,,,,,,,,,,,,,,,,,,,,,,,,
268,ST44,eliminates,Wind,,,,,,,,,,,,,,,,,,,,,,,,
269,ST45,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,,
270,ST45,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,,
271,ST45,clears,Heart,,,,,,,,,,,,,,,,,,,,,,,,
272,ST45,relieves,Food Retention,,,,,,,,,,,,,,,,,,,,,,,,
273,SP1,strengthens,Spleen,,,,,,,,,,,,,,,,,,,,,,,,
274,SP1,regulates,Blood,,,,,,,,,,,,,,,,,,,,,,,,
275,SP1,calms,Wind,,,,,,,,,,,,,,,,,,,,,,,,
276,SP2,strengthens,Spleen,,,,,,,,,,,,,,,,,,,,,,,,
277,SP2,promotes,Digestion,,,,,,,,,,,,,,,,,,,,,,,,
278,SP2,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,,
279,SP3,strengthens,Spleen,,,,,,,,,,,,,,,,,,,,,,,,
280,SP3,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,,
281,SP3,strengthens,Spine,,,,,,,,,,,,,,,,,,,,,,,,
282,SP4,tonifies,Stomach,,,,,,,,,,,,,,,,,,,,,,,,
283,SP4,tonifies,Spleen,,,,,,,,,,,,,,,,,,,,,,,,
284,SP4,regulates,Chong Channels,,,,,,,,,,,,,,,,,,,,,,,,
285,SP4,stops,Bleeding,,,,,,,,,,,,,,,,,,,,,,,,
286,SP4,dispels,Fullness,,,,,,,,,,,,,,,,,,,,,,,,
287,SP4,pacifies,Stomach,,,,,,,,,,,,,,,,,,,,,,,,
288,SP4,removes,Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
289,SP4,regulates,Menses,,,,,,,,,,,,,,,,,,,,,,,,
290,SP5,strengthens,Stomach,,,,,,,,,,,,,,,,,,,,,,,,
291,SP5,strengthens,Spleen,,,,,,,,,,,,,,,,,,,,,,,,
292,SP5,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,,
293,SP6,strengthens,Spleen,,,,,,,,,,,,,,,,,,,,,,,,
294,SP6,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,,
295,SP6,promotes,Liver Function,,,,,,,,,,,,,,,,,,,,,,,,
296,SP6,smooths,Liver Qi Flow,,,,,,,,,,,,,,,,,,,,,,,,
297,SP6,tonifies,Kidneys,,,,,,,,,,,,,,,,,,,,,,,,
298,SP6,nourishes,Blood,,,,,,,,,,,,,,,,,,,,,,,,
299,SP6,nourishes,Yin,,,,,,,,,,,,,,,,,,,,,,,,
300,SP6,benefits,Urination,,,,,,,,,,,,,,,,,,,,,,,,
301,SP6,regulates,Uterus,,,,,,,,,,,,,,,,,,,,,,,,
302,SP6,regulates,Menstruation,,,,,,,,,,,,,,,,,,,,,,,,
303,SP6,moves,Blood,,,,,,,,,,,,,,,,,,,,,,,,
304,SP6,cools,Blood,,,,,,,,,,,,,,,,,,,,,,,,
305,SP6,eliminates,Stasis,,,,,,,,,,,,,,,,,,,,,,,,
306,SP6,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,,
307,SP6,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,,
308,SP7,fortifies,Spleen,,,,,,,,,,,,,,,,,,,,,,,,
309,SP7,harmonizes,Stomach,,,,,,,,,,,,,,,,,,,,,,,,
310,SP7,disinhibits,Damp,,,,,,,,,,,,,,,,,,,,,,,,
311,SP7,disperses,Swelling,,,,,,,,,,,,,,,,,,,,,,,,
312,SP7,frees,Channels,,,,,,,,,,,,,,,,,,,,,,,,
313,SP7,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,,
314,SP7,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,,
315,SP7,regulates,Blood,,,,,,,,,,,,,,,,,,,,,,,,
316,SP8,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
317,SP8,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,,
318,SP8,regulates,Blood,,,,,,,,,,,,,,,,,,,,,,,,
319,SP8,regulates,Uterus,,,,,,,,,,,,,,,,,,,,,,,,
320,SP8,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,,
321,SP9,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,,
322,SP9,benefits,Lower Burner,,,,,,,,,,,,,,,,,,,,,,,,
323,SP9,benefits,Urination,,,,,,,,,,,,,,,,,,,,,,,,
324,SP9,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
325,SP10,cools,Blood,,,,,,,,,,,,,,,,,,,,,,,,
326,SP10,removes,Blood Stasis,,,,,,,,,,,,,,,,,,,,,,,,
327,SP10,regulates,Menstruation,,,,,,,,,,,,,,,,,,,,,,,,
328,SP10,tonifies,Blood,,,,,,,,,,,,,,,,,,,,,,,,
329,SP11,clears,Head,,,,,,,,,,,,,,,,,,,,,,,,
330,SP11,promotes,Free Flow Through Waterway,,,,,,,,,,,,,,,,,,,,,,,,
331,SP12,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,,
332,SP12,tonifies,Yin,,,,,,,,,,,,,,,,,,,,,,,,
333,SP13,regulates,Qi Dynamic,,,,,,,,,,,,,,,,,,,,,,,,
334,SP13,soothes,Liver,,,,,,,,,,,,,,,,,,,,,,,,
335,SP13,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,,
336,SP14,warms,Center,,,,,,,,,,,,,,,,,,,,,,,,
337,SP14,dissipates,Cold,,,,,,,,,,,,,,,,,,,,,,,,
338,SP14,rectifies,Qi,,,,,,,,,,,,,,,,,,,,,,,,
339,SP14,downbears,Counterflow,,,,,,,,,,,,,,,,,,,,,,,,
340,SP15,strengthens,Spleen,,,,,,,,,,,,,,,,,,,,,,,,
341,SP15,strengthens,Limbs,,,,,,,,,,,,,,,,,,,,,,,,
342,SP15,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,,
343,SP15,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,,
344,SP15,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,,
345,SP15,promotes,Large Intestine Function,,,,,,,,,,,,,,,,,,,,,,,,
346,SP16,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,,
347,SP16,disinhibits,Damp,,,,,,,,,,,,,,,,,,,,,,,,
348,SP16,frees,Bowel Qi,,,,,,,,,,,,,,,,,,,,,,,,
349,SP17,rectifies,Qi,,,,,,,,,,,,,,,,,,,,,,,,
