Point,Name,Transliteration,English,Pinyin,Korean 한글,Vietnamese,,
BL-4,曲差,Quchai,Deviating Curve,qǔ chāi,gok cha 곡차,Khúc sai,,
BL-5,五處,Wuchu,Fifth Position,wǔ chǔ,o cheo 오처,Ngũ xứ,,
BL-6,承光,Chengguang,Receiving Light,chéng guāng,seung gwang 승광,Thừa quang,,
BL-7,通天,Tongtian,Reaching Upward,tōng tiān,tong cheon 통천,Thông thiên,,
BL-8,絡卻,Luoque,Declining Connection,luò què,nak gak 락각,Lạc khước,,
BL-9,玉枕,Yuzhen,Jade Pillow,yù zhěn,ok chim 옥침,Ngọc chẩm,,
BL-10,天柱,Tianzhu,Upper Pillar,tiān zhù,cheon ju 천주,Thiên trụ,,
BL-11,大杼,Dazhu,Great Vertebra,dà zhù,dae jeo 대저,Đại trữ,,
BL-12,風門,Fengmen,Wind Gate,fēng mén,pung mun 풍문,Phong môn,,
BL-13,肺俞,Feishu,Lung Transporter,fèi shū,pye yu 폐유,Phế du,,
BL-14,厥陰俞,Jueyinshu,Absolute yin Transporter,jué yīn shū,gweor eum yu 궐음유,Quyết âm du,,
BL-15,心俞,Xinshu,Heart Transporter,xīn shū,sim yu 심유,Tâm du,,
BL-16,督俞,Dushu,Governor Transporter,dū shū,dok yu 독유,Đốc du,,
BL-17,膈俞,Geshu,Diaphragm Transporter,gé shū,gyeok yu 격유,Cách du,,
BL-18,肝俞,Ganshu,Liver Transporter,gān shū,gan yu 간유,Can du,,
BL-19,膽俞,Danshu,Gallbladder Transporter,dǎn shū,dam yu 담유,Đởm du,,
BL-20,脾俞,Pishu,Spleen Transporter,pí shū,bi yu 비유,Tỳ du,,
BL-21,胃俞,Weishu,Stomach Transporter,wèi shū,wi yu 위유,Vị du,,
BL-22,三焦俞,Sanjiaoshu,Sanjiao Transporter,sān jiāo shū,sam cho yu 삼초유,Tam tiêu du,,
BL-23,腎俞,Shenshu,Kidney Transporter,shèn shū,sim yu 신유,Thận du,,
BL-24,氣海俞,Qihaishu,Sea of Qi Transporter,qì hǎi shū,gi hae yu 기해유,Khí hải du,,
BL-25,大腸俞,Dachangshu,Large Intestine Transporter,dà cháng shū,dae jang yu 대장유,Đại trường du,,
BL-26,關元俞,Guanyuanshu,Gate of Origin Transporter,guān yuán shū,gwan won yu 관원유,Quan nguyên du,,
BL-27,小腸俞,Xiaochangshu,Small Intestine Transporter,xiǎo cháng shū,so jang yu 소장유,Tiểu trường du,,
BL-28,膀胱俞,Pangguangshu,Bladder Transporter,páng guāng shū,bang wang yu 방광유,Bàng quang du,,
BL-29,中膂俞,Zhonglushu,Mid-Spine Transporter,zhōng lǚ shū,jung nyeo nae yu 중려내유,Trung lữ du,,
BL-30,白環俞,Baihuanshu,White Ring Transporter,bái huán shū,baek hwan yu 백환유,Bạch hoàn du,,
BL-31,上髎,Shangliao,Upper Bone Hole,shàng liáo,sang nyo 상료,Thượng liêu,,
BL-32,次髎,Ciliao,Second Bone Hole,cì liáo,cha ryo 차료,Thứ liêu,,
BL-33,中髎,Zhongliao,Middle Bone Hole,zhōng liáo,jung nyo 중료,Trung liêu,,
BL-34,下髎,Xialiao,Lower Bone Hole,xià liáo,ha ryo 하료,Hạ liêu,,
BL-35,會陽,Huiyang,Meeting of Yang,huì yáng,hoe yang 회양,Hội dương,,
BL-36,承扶,Chengfu,Hold and Support,chéng fú,seung bu 승부,Thừa phù,,
BL-37,殷門,Yinmen,Hanstring Gate,yīn mén,eun mun 은문,Ân môn,,
BL-38,浮郄,Fuxi,Superficial Cleft,fú xī,bu geuk 부극,Phù khích,,
BL-39,委陽,Weiyang,Lateral End of the Crease,wěi yáng,wi yang 위양,Ủy dương,,
BL-40,委中,Weizhong,Middle of the Crease,wěi zhōng,wi jung 위중,Ủy trung,,
BL-41,附分,Fufen,Outer Branch,fù fēn,bu bun 부분,Phụ phân,,
BL-42,魄戶,Pohu,Door of the Corporeal Soul,pò hù,baek ho 백호,Phách hộ,,
BL-43,膏肓俞,Gaohuangshu,Vital Region Shu,gāo huāng shū,go hwang [yu] 고황[유],Cao hoang du,,
BL-44,神堂,Shentang,Spirit Hall,shén táng,sin dang 신당,Thần đường,,
BL-45,譩譆,Yixi,That Hurt,yì xǐ,ui hoe 의회,Y hy,,
BL-46,膈關,Geguan,Diaphragm Gate,gé guān,gyeok gwan 격관,Cách quan,,
BL-47,魂門,Hunmen,Ethereal Soul Gate,hún mén,hon mun 혼문,Hồn môn,,
BL-48,陽綱,Yanggang,Linking to Gall Bladder,yáng gāng,yang gang 양강,Dương cương,,
BL-49,意舍,Yishe,Abode of Thought,yì shě,ui sa 의사,Ý xá,,
BL-50,胃倉,Weicang,Stomach Granary,wèi cāng,wi chang 위창,Vị thương,,
BL-51,肓門,Huangmen,Vitals Gate,huāng mén,hwang mun 황문,Hoang môn,,
BL-52,志室,Zhishi,Willpower Room,zhì shì,ji sil 지실,Chí thất,,
BL-53,胞肓,Baohuang,Bladder's Vitals,bāo huāng,po hwang 포황,Bào hoang,,
BL-54,秩邊,Zhibian,Lowermost in Order,zhì biān,jil byeon 질변,Trật biên,,
BL-55,合陽,Heyang,Yang Confluence,hé yáng,hap yang 합양,Hợp dương,,
BL-56,承筋,Chengjin,Sinews Support,chéng jīn,seung geun 승근,Thừa cân,,
BL-57,承山,Chengshan,Mountain Support,chéng shān,seung san 승산,Thừa sơn,,
BL-58,飛陽,Feiyang,Taking Flight,fēi yáng,bi yang 비양,Phi dương,,
BL-59,跗陽,Fuyang,Tarsus Yang,fū yáng,bu yang 부양,Phụ dương,,
BL-60,昆侖; 崑崙[7],Kunlun,Kunlun Mountains,kūn lún,gol lyun 곤륜,Côn lôn (luân),,
BL-61,僕參,Pucan,Subservient Visitor,pú cān,bok cham 복참,Bộc tham,,
BL-62,申脈,Shenmai,Extending Vessel,shēn mài,sin maek 신맥,Thân mạch,,
BL-63,金門,Jinmen,Golden Gate,jīn mén,geum mun 금문,Kim môn,,
BL-64,京骨,Jinggu,Metatarsal Tuberosity,jīng gǔ,gyeong gol 경골,Kinh cốt,,
BL-65,束骨,Shugu,Metatarsal Head,shù gǔ,sok gol 속골,Thúc cốt,,
BL-66,足通谷,Zutonggu,Foot Valley Passage,zú tōng gǔ,[jok] tong gok [족]통곡,Túc thông cốc,,
BL-67,至陰,Zhiyin,Reaching Yin,zhì yīn,ji eum 지음,Chí âm,,
KI-1,湧泉,Yong Quan,Bubbling Well,yǒng quán,yong cheon 용천,Dũng tuyền,,
KI-2,然谷,Rangu,Blazing Valley,rán gǔ,yeon gok 연곡,Nhiên cốc,,
KI-3,太谿,Taixi,Great Stream,taì xī,tae yeon 태계,Thái khê,,
KI-4,大鐘,Dazhong,Large Bell,dà zhōng,dae jong 대종,Đại chung,,
KI-5,水泉,Shuiquan,Water Spring,shuǐ quán,su cheon 수천,Thủy tuyền,,
KI-6,照海,Zhaohai,Shining Sea,zhào hǎi,joh hae 조해,Chiếu hải,,
KI-7,復溜,Fuliu,Continuing Flow,fù liū,bong nyu 복류,Phục lưu,,
KI-8,交信,Jiaoxin,Intersecting with Spleen,jiāo xìn,gyo sin 교신,Giao tín,,
KI-9,築賓,Zhubin,Strong Knees,zhú bīn,chuk bin 축빈,Trúc tân,,
KI-10,陰谷,Yingu,Yin Valley,yīn gǔ,eum gok 음곡,Âm cốc,,
KI-11,橫骨,Henggu,Pubic Bone,héng gǔ,hoeng gol 횡골,Hoành cốt,,
KI-12,大赫,Dahe,Big Plentifulness,dà hè,dae hyeok 대혁,Đại hách,,
KI-13,氣穴,Qixue,Kidney Qi Cave,qì xué,gi hyeol 기혈,Khí huyệt,,
KI-14,四滿,Siman,Fourth for Fullnesses,sì mǎn,sa man 사만,Tứ mãn,,
KI-15,中注,Zhongzhu,Pouring into the Middle,zhōng zhù,jung ju 중주,Trung chú,,
KI-16,肓俞,Huangshu,Vitals Tissues Shu,huāng shū,hwang yu 황유,Hoang du,,
KI-17,商曲,Shangqu,Metal Bend,shāng qū,sang gok 상곡,Thương khúc,,
KI-18,石關,Shiguan,Stone Gate,shí guān,seok gwan 석관,Thạch quan,,
KI-19,陰都,Yindu,Yin Metropolis,yīn dū,eum do 음도,Âm đô,,
KI-20,腹通谷,Futonggu,Abdominal Food Passage,fù tōng gǔ,tong gok 통곡,(Phúc) Thông cốc,,
KI-21,幽門,Youmen,Hidden Gate,yōu mén,yu mun 유문,U môn,,
KI-22,步廊,Bulang,Stepping Upwards,bù láng,bo rang 보랑,Bộ lang,,
K-23,神封,Shenfeng,Spirit Manor,shén fēng,sin bong 신봉,Thần phong,,
KI-24,靈墟,Lingxu,Spirit Ruin,líng xū,yeong heo 영허,Linh khâu,,
KI-25,神藏,Shencang,Spirit Storehouse,shén cáng,sin jang 신장,Thần tàng,,
KI-26,彧中,Yuzhong,Refined Chest,yù zhōng,uk jung 욱중,Hoắc trung,,
KI-27,俞府,Shufu,Shu Mansion,shū fǔ,yu bu 유부,Du phủ,,
PC-1,天池,Tianchi,Heavenly Pool,tiān chí,cheon ji 천지,Thiên trì,,
PC-2,天泉,Tianquan,Heavenly Spring,tiān quán,cheon cheon 천천,Thiên tuyền,,
PC-3,曲澤,Quze,Marsh at the Crook,qū zé,gok taek 곡택,Khúc trạch,,
PC-4,郄門,Ximen,Xi-Cleft Gate,xī mén,geung mun 극문,Khích môn,,
PC-5,間使,Jianshi,Intermediate Messenger,jiān shǐ,gan sa 간사,Giản sử,,
PC-6,內關,Neiguan,Inner Pass,nèi guān,nae gwan 내관,Nội quan,,
PC-7,大陵,Daling,Great Mound,dà líng,dae reung 대릉,Đại lăng,,
PC-8,勞宮,Laogong,Palace of Toil,láo gōng,no gung 노궁,Lao cung,,
PC-9,中衝,Zhongchong,Middle Rushing,zhōng chōng,jung chung 중충,Trung xung,,
TE-1,關衝,Guanchong,Surge Gate,guān chōng,gwan chung 관충,Quan xung,,
TE-2,液門,Yemen,Fluid Gate,yè mén,aeng mun 액문,DỊch môn,,
TE-3,中渚,Zhongzhu,Central Islet,zhōng zhǔ,jung jeo 중저,Trung chử,,
TE-4,陽池,Yangchi,Yang Pool,yáng chí,yang ji 양지,Dương trì,,
TE-5,外關,Waiguan,Outer Pass,wài guān,oe gwan 외관,Ngoại quan,,
TE-6,支溝,Zhigou,Branch Ditch,zhī gōu,ji gu 지구,Chi câu,,
TE-7,會宗,Huizong,Convergence and Gathering,huì zōng,hui jung 회종,Hội tông,,
TE-8,三陽絡,Sanyangluo,Three Yang Connection,sān yáng luò,sam yang nak 삼양락,Tam dương lạc,,
TE-9,四瀆,Sidu,Four Rivers,sì dú,sa dok 사독,Tứ độc,,
TE-10,天井,Tianjing,Upper Well,tiān jǐng,cheon jeong 천정,Thiên tỉnh,,
TE-11,清冷淵,Qinglengyuan,Cooling Deep Pool,qīng lěng yuān,cheong naeng yeon 청랭연,Thanh lãng uyên,,
TE-12,消濼,Xiaoluo,Draining Marsh,xiāo luò,so rak 소락,Tiêu lạc,,
TE-13,臑會,Naohui,Upper Arm Intersection,nào huì,noe hui 뇌회,Nhu hội,,
TE-14,肩髎,Jianliao,Shoulder Bone Hole,jiān liáo,gyeol lyo 견료,Kiên liêu,,
TE-15,天髎,Tianliao,Upper Arm Hole,tiān liáo,cheol lyo 천료,Thiên liêu,,
TE-16,天牖,Tianyou,Sky Window,tiān yǒu,cheon yong 천용,Thiên dũ,,
TE-17,翳風,Yifeng,Wind Screen,yì fēng,ye pung 예풍,Ế phong,,
TE-18,契脈,Qimai[b],Convulsion Vessel,qì mài,gye maek 계맥,Khế mạch,,
TE-19,顱息,Luxi,Head's Tranquility,lú xī,no sik 노식,Lư tức,,
TE-20,角孫,Jiaosun,Angle Vertex,jiǎo sūn,gak son 각손,Giác tôn,,
TE-21,耳門,Ermen,Ear Gate,ěr mén,i mun 이문,Nhĩ môn,,
TE-22,耳和髎,Erheliao,Ear Harmonising Foramen,ěr hé liáo,hwa ryo 화료,(Nhĩ) Hòa liêu,,
TE-23,絲竹空,Sizhukong,Silken Bamboo Hollow,sī zhú kōng,sa juk gong 사죽공,Ti trúc không,,
GB-1,瞳子髎,Tongziliao,Pupil Crevice,tóng zǐ liáo,dong ja ryo 동자료,Đồng tử liêu,,
GB-2,聽會,Tinghui,Meeting of Hearing,tīng huì,cheong hoe 청회,Thính hội,,
GB-3,上關[c],Shangguan,Above the Joint,shàng guān,sang gwan 상관/gaek ju in 객주인,Thượng quan,,
GB-4,頷厭,Hanyan,Jaw Serenity,hàn yàn,ha yeom 함염,Hàm yến,,
GB-5,懸顱,Xuanlu,Suspended Skull,xuán lú,hyeol lo 현로,Huyền lư,,
GB-6,懸厘,Xuanli,Suspended Hair,xuán lí,hyeol li 현리,Huyền ly,,
GB-7,曲鬢,Qubin,Crook of the Temple,qū bìn,gok bin 곡빈,Khúc tân,,
GB-8,率谷,Shuaigu,Leading Valley,shuài gǔ,sol gok 솔곡,Suất cốc,,
GB-9,天沖,Tianchong,Heavenly Rushing,tiān chōng,cheon chung 천충,Thiên xung,,
GB-10,浮白,Fubai,Floating White,fú bái,bu baek 부백,Phù bạch,,
GB-11,頭竅陰,Touqiaoyin,Yin Portals of the Head,tóu qiào yīn,[du] gyu eum [두] 규음,Đầu khiếu âm,,
GB-12,完骨,Wangu,Mastoid Process,wán gǔ,wan gol 완골,Hoàn cốt,,
GB-13,本神,Benshen,Root of the Spirit,běn shén,bon sin 본신,Bản thần,,
GB-14,陽白,Yangbai,Yang White,yáng bái,yang baek 양백,Dương bạch,,
GB-15,頭臨泣,Toulinqi,Head Governor of Tears,tóu lín qì,[du] im eup [두] 임읍,Đầu lâm khấp,,
GB-16,目窗,Muchuang,Window of the Eye,mù chuāng,mok chang 목창,Mục song,,
GB-17,正營,Zhengying,Upright Nutrition,zhèng yíng,jyeong yeong 정영,Chính dinh,,
GB-18,承靈,Chengling,Support Spirit,chéng líng,seung nyeong 승령,Thừa linh,,
GB-19,腦空,Naokong,Brain Hollow,nǎo kōng,noe gong 뇌공,Não không,,
GB-20,風池,Fengchi,Wind Pool,fēng chí,pung ji 풍지,Phong trì,,
GB-21,肩井,Jianjing,Shoulder Well,jīan jǐng,gyeon jeong 견정,Kiên tỉnh,,
GB-22,淵腋,Yuanye,Armpit Abyss,yuān yè,yeon aek 연액,Uyển dịch,,
GB-23,輒筋,Zhejin,Flank Sinews,zhé jīn,cheop geun 첩근,Triếp cân,,
GB-24,日月,Riyue,Sun and Moon,rì yuè,il weol 일월,Nhật nguyệt,,
GB-25,京門,Jingmen,Capital Gate,jīng mén,gyeong mun 경문,Kinh môn,,
GB-26,帶脈,Daimai,Girdling Vessel,dài mài,dae maek 대맥,Đới mạch,,
GB-27,五樞,Wushu,Five Pivots,wǔ shū,o chu 오추,Ngũ khu,,
GB-28,維道,Weidao,Linking Path,wéi dào,yu do 유도,Duy đạo,,
GB-29,居髎,Juliao,Stationary Crevice,jū liáo,geo ryo 거료,Cự liêu,,
GB-30,環跳,Huantiao,Jumping Circle,huán tiào,hwan do 환도,Hoàn khiêu,,
GB-31,風市,Fengshi,Wind Market,fēng shì,pung si 풍시,Phong thị,,
GB-32,中瀆,Zhongdu,Middle Ditch,zhōng dú,jung dok 중독,Trung độc,,
GB-33,膝陽關,Xiyangguan,Knee Yang Gate,xī yáng guān,[seul] yang gwan [슬] 양관,(Tất) Dương quan,,
